created_date,topic,topic_prob,original_created,original_tweet_id,original_tweet_text,original_user_id,reply_created,reply_tweet_id,reply_text,reply_user_id
2020-04-16,141,0.9997906,2020-04-16 00:05:03,1250575897687666694,Ministerio de Trabajo analiza suspensión laboral de tres meses y sin sueldo en medio de la crisis por COVID-19. ► https://t.co/ShNOxSLa5j https://t.co/PhCdeBl8fj,8225692,2020-04-16 00:12:55,1250577878405779456,@eluniversocom Hagan eso y verán que llegará algo peor que el Covid-19,1.1564025065048556e+18
2020-04-16,3047,0.97921896,2020-04-16 00:05:05,1250575908295016450,"Director de la OMS pidió a Trump ""poner en cuarentena la politización del covid-19"" y más noticias del coronavirus. Es la Ronda Global con Miguel Ángel Antoñanzas.
https://t.co/IcLo8VYh66",33884545,2020-04-16 00:13:20,1250577981359210501,@CNNEE Este fue el que cubrió todo a los Chinos que se les escapó el COVID19 de su laboratorio de Wuhan y ellos lo saben.,2984810647.0
2020-04-16,3583,0.99714464,2020-04-16 00:07:44,1250576574207987714,"En México hay 5 mil 847 casos confirmados de #covid19; 11 mil 717 casos sospechosos y 449 fallecimientos, informa Salud  

Ayer eran: 

5 mil 399 casos confirmados
10 mil 792 casos sospechosos
406 fallecimientos https://t.co/tp73t61efE",195933066,2020-04-16 00:15:22,1250578495186644998,"@DeniseMaerker Hay mucho más muertos de los q se están reportando, sabes q los directores están de vacaciones y el q muera será diagnosticado por neumonía no por Covid",509837852.0
2020-04-16,1839,0.851051,2020-04-16 00:19:42,1250579583470055425,"Ahora sí lo escuché todo, venezolanos, nicaragüenses y colombianos no se sienten seguros en #Panamá x la gran cantidad de casos de #COVIDー19 y xq no hay trabajo y piden ser repatriados https://t.co/crgPfLyZ2O",260451004,2020-04-16 00:27:02,1250581430154993665,@thaisilean El problema está en que muchos han quedado desempleados y al no tener trabajo menos puden comer y pagar renta añadir que muchos son ilegales les sale mejor regresar a sus países de origen a parte sin dan positivo en COVID no tienen familires aquí. Están en problemas...,2949260591.0
2020-04-16,560,0.99999785,2020-04-16 00:12:14,1250577707777159169,Gobernadores de PAN afirman que devolverán las batas delgadas y cubrebocas sencillos enviados por el Gobierno para atender Covid-19. https://t.co/GUTFOvdGSG,27708897,2020-04-16 00:28:35,1250581823115218951,@Reforma No conformes los del Reforma. Con Panikear a la gente. Y sujestionandolas más con las Famosas cifras de Mortandad. De tanta gente. A nivel mundial. Yo me Preguntó Y dónde están tantos disque cadáveres muertos por el famoso COVID-19. Digo. https://t.co/nhVsbfzapF,1.2443901533528637e+18
2020-04-16,141,0.9997906,2020-04-16 00:05:03,1250575897687666694,Ministerio de Trabajo analiza suspensión laboral de tres meses y sin sueldo en medio de la crisis por COVID-19. ► https://t.co/ShNOxSLa5j https://t.co/PhCdeBl8fj,8225692,2020-04-16 00:28:41,1250581847228264450,"@eluniversocom Este Gobierno que no ""piense más"" que les va a dar a toditos diarrea mental, tres meses ? Que están locos q va a dar canasta a todos los ecuatorianos? Uds si quédense n casa xq no sirven para NADA, la gente con covid o no empezarán a salir a ganarse la vida @Lenin",551413415.0
2020-04-16,6,0.99999154,2020-04-16 00:33:28,1250583051312250881,"Panorama en México 15 de abril 2020: 5,847 casos confirmados, 11,717 sospechosos, 25,138 negativos y 449 defunciones. Se ha estudiado a 42,702 personas. De casos confirmados, 3,761 (64.32%) han sido leves y 2,086 (35.68%) han requerido hospitalización por #COVID19. https://t.co/94GTJfHzRg",1154180084078501888,2020-04-16 00:34:36,1250583334171955201,"@HLGatell 15 de abril | México:
Información detallada de COVID-19 en México (federal y estatal) actualizada todos los días 19:30 hrs aquí:

https://t.co/qBgN2kQjwl
#COVID19mx https://t.co/YGGTlk5PN7",1.244683711137882e+18
2020-04-16,6,0.99999154,2020-04-16 00:33:28,1250583051312250881,"Panorama en México 15 de abril 2020: 5,847 casos confirmados, 11,717 sospechosos, 25,138 negativos y 449 defunciones. Se ha estudiado a 42,702 personas. De casos confirmados, 3,761 (64.32%) han sido leves y 2,086 (35.68%) han requerido hospitalización por #COVID19. https://t.co/94GTJfHzRg",1154180084078501888,2020-04-16 00:34:47,1250583383282941955,"@HLGatell 15 de abril | México:
Información detallada de COVID-19 en México (federal y estatal) actualizada todos los días 19:30 hrs aquí:

https://t.co/qBgN2kQjwl
#COVID19mx https://t.co/jeZFV0jPVi",1.244683711137882e+18
2020-04-16,910,0.9995829,2020-04-16 00:18:43,1250579339281862658,"El Pdte.@JuanOrlandoH, recorrió este miércoles la clínica instalada en el Polideportivo de la UNAH, que tendrá capacidad para atender 200 pacientes contagiados con #COVID19 en etapa intermedia.

#HondurasQuedateEnCasa
#TodosConMascarilla
⬇️ ⬇️ ⬇️ https://t.co/LqUu4zuZrE",1145775630,2020-04-16 00:39:05,1250584463978848256,@Presidencia_HN @JuanOrlandoH @HCHTelevDigital @radiohrn @HoyMismoTSI @diarioelheraldo @elpaishn @LaTribunahn @TPHONDURAS @teleceibacanal7 @Canal6Honduras @LNC_Honduras Estar preparados y pedirle a Dios con fe  que  disipa esta pandemia COVID-19. Y ser obediente quedarse en casa. Bendiciones presidente Hernández. #TodosConMascarilla,1.1291123122652283e+18
2020-04-16,560,0.99999785,2020-04-16 00:12:14,1250577707777159169,Gobernadores de PAN afirman que devolverán las batas delgadas y cubrebocas sencillos enviados por el Gobierno para atender Covid-19. https://t.co/GUTFOvdGSG,27708897,2020-04-16 00:41:15,1250585006990217216,"@Reforma La oposición golpista se une al COVID-19 para atacar al pueblo y a la Democracia.

#OposicionGolpista 

#OposicionMoralmenteDerrotada 

#AMLONoEstaSolo https://t.co/jnCWTzybl1",1.0882459625128141e+18
